name time
020 0.048
025 0.124
030 0.226
035 0.374
040 0.574
045 0.917
050 1.452
055 1.984
060 2.428
065 3.27
070 4.736
075 5.593
080 6.602
085 8.789
090 9.847
095 13.707
100 13.956
105 17.118
110 20.638
115 23.713
120 28.556
125 34.434
130 35.471
135 44.417
140 49.114
145 47.757
150 66.722
155 92.716
160 79.493
165 93.467
170 105.177
175 115.242
180 108.536
185 138.897
190 138.32
195 231.836
200 177.221
205 232.05
210 214.389
215 240.636
220 379.603
225 279.948
230 347.28
235 338.174
240 532.286
245 531.989
250 450.263
255 469.854
260 509.586
265 567.076
270 797.522
275 667.435
280 762.842
285 1968.71
290 1268.36
