name time
020 0.045
025 0.096
030 0.182
035 0.314
040 0.519
045 0.914
050 1.102
055 1.703
060 2.024
065 2.864
070 3.719
075 4.545
080 5.674
085 7.102
090 9.274
095 11.255
100 12.653
105 15.384
110 19.156
115 20.901
120 24.442
125 27.147
130 30.205
135 34.263
140 41.208
145 47.659
150 45.968
155 58.335
160 76.581
165 73.769
170 79.434
175 106.861
180 87.883
185 104.529
190 126.535
195 197.125
200 160.873
205 197.279
210 190.835
215 181.512
220 230.535
225 200.597
230 262.526
235 386.951
240 300.462
245 442.797
250 347.547
255 369.368
260 549.87
265 593.685
270 516.341
275 606.98
280 910.337
285 651.559
290 626.671
